,Name,Category,Year,Link,Name_right,Profession,Birth Info,Description,Birthplace,Birthdate,Age,Pronouns
0,George W. Bush ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971022,00.html",George W. Bush,43rd U.S. President,"Born: July 6, 1946 (age 74 years), New Haven, CT","George Walker Bush is an American politician and businessman who served as the 43rd president of the United States from 2001 to 2009. A member of the Republican Party, he had previously served as the 46th governor of Texas from 1995 to 2000. ","New Haven, CT","July 6, 1946",74,he
1,Hu Jintao ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971028,00.html",Hu Jintao,Former President of the People's Republic of China,"Born: December 21, 1942 (age 77 years), Taizhou, China","Hu Jintao is a Chinese politician, who was General Secretary of the Chinese Communist Party from 2002 to 2012, President of the People's Republic of China from 2003 to 2013 and Chairman of the Central Military Commission from 2004 to 2012. ","Taizhou, China","December 21, 1942",77,
2,Luiz Inácio Lula da Silva ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971031,00.html",Luiz Inácio Lula da Silva (Lula),Former President of Brazil,"Born: October 27, 1945 (age 75 years), Caetés, State of Pernambuco, Brazil","Luiz Inácio Lula da Silva, known as Lula, is a Brazilian politician and former union leader who served as the 35th President of Brazil from 1 January 2003 to 31 December 2010. ","Caetés, State of Pernambuco, Brazil","October 27, 1945",75,
3,Ali Husaini Sistani ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971034,00.html",Ali al-Sistani,Ayatollah,"Born: August 4, 1930 (age 90 years), Mashhad, Iran","Grand Ayatollah Sayyid Ali al-Husayni al-Sistani, commonly known as Ayatollah Sistani, is one of the most influential Iraqi Shia marja' of Iranian origins living in Iraq. He is described as the leading spiritual leader of Iraqi Shia Muslims, and one of the most senior clerics in Shia Islam. ","Mashhad, Iran","August 4, 1930",90,He
4,Toshihiko Fukui ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971048,00.html",Toshihiko Fukui,Japanese economist,"Born: September 7, 1935 (age 85 years), Osaka, Osaka, Japan",Toshihiko Fukui is a Japanese economist and central banker. He was the 29th Governor of the Bank of Japan and a Director of the Bank for International Settlements. ,"Osaka, Osaka, Japan","September 7, 1935",85,He
5,Abu al-Zarqawi ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971049,00.html",Abū Muṣʻab Zarqāwī,Null,"Born: October 30, 1966, Zarqa, Jordan","Abu Musab al-Zarqawi, born Ahmad Fadeel al-Nazal al-Khalayleh, was a Jordanian jihadist who ran a terrorist training camp in Afghanistan. ",,"October 30, 1966, Zarqa,",,
6,Kofi Annan ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971056,00.html",Kofi Annan,Ghanaian diplomat,"Born: April 8, 1938, Kumasi, Ghana",Kofi Atta Annan was a Ghanaian diplomat who served as the seventh Secretary-General of the United Nations from January 1997 to December 2006. Annan and the UN were the co-recipients of the 2001 Nobel Peace Prize. ,,"April 8, 1938, Kumasi,",,
7,Condoleeza Rice ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971057,00.html",Condoleezza Rice,Former United States Secretary of State,"Born: November 14, 1954 (age 66 years), Birmingham, AL","Condoleezza ""Condi"" Rice is an American diplomat, political scientist, civil servant, and professor who is the current Director of the Hoover Institution at Stanford University. ","Birmingham, AL","November 14, 1954",66,
8,Recep Tayyip Erdogan ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971059,00.html",Recep Tayyip Erdoğan,President of Turkey,"Born: February 26, 1954 (age 66 years), Kasımpaşa, Beyoğlu, Turkey",Recep Tayyip Erdoğan is a Turkish politician serving as the current President of Turkey. He previously served as Prime Minister of Turkey from 2003 to 2014 and as Mayor of Istanbul from 1994 to 1998. ,"Kasımpaşa, Beyoğlu, Turkey","February 26, 1954",66,He
9,John Abizaid ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971062,00.html",John Abizaid,United States Ambassador to Saudi Arabia,"Born: April 1, 1951 (age 69 years), Redwood City, CA","John Philip Abizaid is a retired United States Army general and former U.S. Central Command commander who is currently the United States Ambassador to Saudi Arabia. Abizaid retired after 34 years of service. As of 2007, Abizaid is employed as a fellow of the Hoover Institution at Stanford University. ","Redwood City, CA","April 1, 1951",69,
10,Kim Jong Il ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971067,00.html",Kim Jong-il,Former Supreme Leader of North Korea,"Born: February 16, 1941, Vyatskoye, Russia","Kim Jong-il or Kim Jong Il was a North Korean politician who served as the second Supreme Leader of North Korea from 1994 to 2011. He led North Korea from the 1994 death of his father Kim Il-sung, the first Supreme Leader until his own death in 2011, when he was succeeded by his son, Kim Jong-un. ",,"February 16, 1941, Vyatskoye,",,He
11,Bill Gates ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971068,00.html",Bill Gates,American business magnate,"Born: October 28, 1955 (age 65 years), Seattle, WA","William Henry Gates III is an American business magnate, software developer, and philanthropist. He is best known as the co-founder of Microsoft Corporation. ","Seattle, WA","October 28, 1955",65,He
12,Pope John Paul II ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971076,00.html",Pope John Paul II,Sovereign of the State of the Vatican City,"Born: May 18, 1920, Wadowice, Poland","Pope Saint John Paul II was the head of the Catholic Church and sovereign of the Vatican City State from 1978 until his death in 2005. He was elected pope by the second papal conclave of 1978, which was called after Pope John Paul I, who had been elected in August to succeed Pope Paul VI, died after 33 days. ",,"May 18, 1920, Wadowice,",,his
13,Atal Bihari Vajpayee ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971081,00.html",Atal Bihari Vajpayee,Former Prime Minister of India,"Born: December 25, 1924, Gwalior, India","Atal Bihari Vajpayee was an Indian statesman who served three terms as the Prime Minister of India, first for a term of 13 days in 1996, then for a period of 13 months from 1998 to 1999, followed by a full term from 1999 to 2004. ",,"December 25, 1924, Gwalior,",,
14,John Kerry ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971083,00.html",John Kerry,Former United States Secretary of State,"Born: December 11, 1943 (age 76 years), Fitzsimons Army Medical Center, Aurora, CO","John Forbes Kerry is an American politician and diplomat who served as the 68th United States Secretary of State from 2013 to 2017. An attorney and former naval officer, Kerry first drew public attention as a decorated Vietnam veteran turned anti-war activist. ","Fitzsimons Army Medical Center, Aurora, CO","December 11, 1943",76,
15,Luisa Diogo ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971086,00.html",Luísa Diogo,Null,"Born: April 11, 1958 (age 62 years), Mague, Mozambique","Luísa Dias Diogo was Prime Minister of Mozambique from February 2004 to January 2010. She replaced Pascoal Mocumbi, who had been Prime Minister for the previous nine years. Before becoming Prime Minister, she was Minister of Planning and Finance, and she continued to hold that post until February 2005. ","Mague, Mozambique","April 11, 1958",62,She
16,Vladmir Putin ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971088,00.html",Vladimir Putin,President of Russia,"Born: October 7, 1952 (age 68 years), Saint Petersburg, Russia","Vladimir Vladimirovich Putin is a Russian politician and a former officer of the KGB who has served as President of Russia since 2012, previously holding the position from 1999 until 2008. Putin was born in Leningrad and studied law at Leningrad State University, graduating in 1975. ","Saint Petersburg, Russia","October 7, 1952",68,
17,Wu Yi ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971095,00.html",Wu Yi,Former Vice Premier of the State Council of the People's Republic of China,"Born: November 17, 1938 (age 82 years), Wuhan, China","Wu Yi is a retired Chinese politician. She was one of the country's most visible leaders during the first decade of the 21st century, best known for taking on the role of Minister of Health from April ... ","Wuhan, China","November 17, 1938",82,She
18,Osama bin Laden ,LEADERS,2004,"www.content.time.com/time/specials/packages/article/0,28804,1970858_1970888_1971096,00.html",Osama Bin Laden,Null,"Born: March 10, 1957, Riyadh, Saudi Arabia","Osama bin Mohammed bin Awad bin Laden, also rendered Usama bin Ladin, was a founder of the pan-Islamic militant organization al-Qaeda, designated as a terrorist group by the United Nations Security Council, the North Atlantic Treaty Organization, the European Union, and various countries. ",,"March 10, 1957, Riyadh, Saudi",,
