,Name,Category,Year,Link,Name_right,Profession,Birth Info,Description,Birthplace,Birthdate,Age,Pronouns
0,Jay Z,TITANS,2013,content.time.comhttps://time100.time.com/2013/04/18/time-100/slide/jay-z/,Jay-Z,American rapper,"Born: December 4, 1969 (age 51 years), Brooklyn, New York, NY","Shawn Corey Carter, known professionally as Jay-Z, is an American rapper, songwriter, record executive, businessman, and record producer. He is widely regarded as one of the most influential hip-hop artists in history, and often cited as one of the greatest rappers of all time. ","Brooklyn, New York, NY","December 4, 1969",51,He
1,Valerie Jarrett,TITANS,2013,content.time.comhttps://time100.time.com/2013/04/18/time-100/slide/valerie-jarrett/,Valerie Jarrett,American businesswoman,"Born: November 14, 1956 (age 64 years), Shiraz, Iran",Valerie June Jarrett is an American businesswoman and former government official. She served as the senior advisor to U.S. President Barack Obama and assistant to the president for public engagement and intergovernmental affairs from 2009 to 2017. ,"Shiraz, Iran","November 14, 1956",64,She
2,Elon Musk,TITANS,2013,content.time.comhttps://time100.time.com/2013/04/18/time-100/slide/elon-musk/,Elon Musk,CEO of SpaceX,"Net worth: 144.7 billion USD (2020) Forbes, Trending","Elon Reeve Musk FRS is a business magnate, industrial designer and engineer. He is the founder, CEO, CTO and chief designer of SpaceX; early investor, CEO and product architect of Tesla, Inc.; founder of The Boring Company; co-founder of Neuralink; and co-founder and initial co-chairman of OpenAI. ",,,,He
3,Oh-Hyun Kwon,TITANS,2013,content.time.comhttps://time100.time.com/2013/04/18/time-100/slide/oh-hyun-kwon/,Kwon Oh-hyun,Null,"Born: October 15, 1952 (age 68 years), South Korea","Kwon Oh-hyun is the Vice Chairman and CEO of Samsung Electronics. In 2013, Time Magazine added him to their top 100 list of most influential people. In October 2017, Dr. Kwon announced that he would resign in March 2018, citing an ""unprecedented crisis"" ",South Korea,"October 15, 1952",68,he
4,Scooter Braun,TITANS,2013,content.time.comhttps://time100.time.com/2013/04/18/time-100/slide/scooter-braun/,Scooter Braun,American media proprietor,"Born: June 18, 1981 (age 39 years), New York, NY","Scott Samuel ""Scooter"" Braun is an American media proprietor, record executive, philanthropist, and investor. In 2013, Braun was included on the annual Time 100 list of the most influential people in the world and in 2020 Fortune magazine named him to its ""40 Under 40"" list in media and entertainment. ","New York, NY","June 18, 1981",39,
5,Kevin Systrom,TITANS,2013,content.time.comhttps://time100.time.com/2013/04/18/time-100/slide/kevin-systrom/,Kevin Systrom,American computer programmer,"Born: December 30, 1983 (age 36 years), Holliston, MA","Kevin Systrom is an American computer programmer and entrepreneur. He co‑founded Instagram, the world's largest photo sharing website, along with Mike Krieger. Systrom was included on the list of America's Richest Entrepreneurs Under 40 2016. ","Holliston, MA","December 30, 1983",36,He
6,Michael Kors,TITANS,2013,content.time.comhttps://time100.time.com/2013/04/18/time-100/slide/michael-kors/,Michael Kors,Honorary Chairman of Michael Kors,"Born: August 9, 1959 (age 61 years), Long Island, NY","Michael David Kors is an American fashion designer. He is the honorary chairman and chief creative officer of his brand, Michael Kors, which sells men's and women's ready-to-wear, accessories, watches, jewellery, footwear, and fragrance. ","Long Island, NY","August 9, 1959",61,He
7,Palaniappan Chidambaram,TITANS,2013,content.time.comhttps://time100.time.com/2013/04/18/time-100/slide/palaniappan-chidambaram/,P. Chidambaram,"Member of Parliament, Rajya Sabha","Born: September 16, 1945 (age 75 years), Kanadukathan, India","Palaniappan Chidambaram is an Indian politician and former attorney who currently serves as Member of Parliament, Rajya Sabha and formerly served as the Union Minister of Finance and Union Minister of Home Affairs of India. ","Kanadukathan, India","September 16, 1945",75,
8,Ren Zhengfei,TITANS,2013,content.time.comhttps://time100.time.com/2013/04/18/time-100/slide/ren-zhengfei/,Ren Zhengfei,CEO of Huawei,"Born: October 25, 1944 (age 76 years), Zhenning Buyei and Miao Autonomous County, Anshun, China","Ren Zhengfei is a Chinese entrepreneur and engineer. He is the founder and CEO of Shenzhen-based Huawei, the world's largest manufacturer of telecommunications equipment and second largest manufacturer of smartphones. As of February 2019, he had a net worth of US$1.3 billion. ","Zhenning Buyei and Miao Autonomous County, Anshun, China","October 25, 1944",76,He
9,Ted Sarandos,TITANS,2013,content.time.comhttps://time100.time.com/2013/04/18/time-100/slide/ted-sarandos/,Ted Sarandos,Chief Executive Officer of Netflix,"Born: July 30, 1964 (age 56 years), Phoenix, AZ",Theodore Anthony Sarandos Jr. is an American businessman who serves as the Co-Chief Executive Officer and Chief Content Officer for Netflix. Sarandos oversees Netflix's annual budget of over $6 billion. ,"Phoenix, AZ","July 30, 1964",56,
